researcher_id,author_name,paper_id,title,authors,co_authors_count,citations,year,journal
1,Allison Hill,R1_P1,Quality throughout beautiful instead,Allison Hill; Daniel Wagner; Cristian Santos; Connie Lawrence; Abigail Shaffer; Gina Moore; Gabrielle Davis; Ryan Munoz; Monica Herrera,8,435,2000,Face-to-face client-driven support Journal
1,Allison Hill,R1_P2,Stop peace technology officer relate,Allison Hill; Darren Roberts; David Garcia; Mark Diaz,3,102,2002,Multi-tiered attitude-oriented neural-net Journal
1,Allison Hill,R1_P3,Reduce raise author play move,Allison Hill; Joel Nelson; Melissa Robinson; Randy Brown; Renee Morales; Thomas Bradley; Christy Porter; Maria Thomas; Patrick Ryan,8,330,2015,Multi-layered heuristic database Journal
1,Allison Hill,R1_P4,Human despite young meeting before another body physical,Allison Hill; Jennifer Brown; Zachary Rice; Shannon Smith; Melanie Herrera; Martin Rodriguez; Jesse Mckay; Deborah Mason; Thomas Harrell,8,359,1982,User-friendly optimal interface Journal
1,Allison Hill,R1_P5,Current hear claim well two truth out major,Allison Hill; Jack Galloway; Cynthia Allen; Angela Dennis; Vanessa Patel; Matthew Arroyo,5,149,1981,Innovative scalable middleware Journal
1,Allison Hill,R1_P6,Institution deep much role cut find yet practice,Allison Hill; Joseph Martinez; George Chapman; Daniel Jones; Crystal Whitehead; Andrea Young; Cindy Anderson,6,343,1981,Down-sized empowering moderator Journal
1,Allison Hill,R1_P7,Six space couple best issue,Allison Hill; John Daniel; Victoria Garcia; Gerald Hensley; Connor West; Donald Wright,5,191,2012,Re-engineered object-oriented leverage Journal
1,Allison Hill,R1_P8,Better present music address behavior send door,Allison Hill; John Hancock; Carmen Smith; Timothy Glover; Michael Cross; Mary Tucker; Daniel Brown,6,459,2023,Compatible leadingedge workforce Journal
1,Allison Hill,R1_P9,Arm once me system church whether,Allison Hill; Cody Larson,1,344,2006,User-centric needs-based approach Journal
1,Allison Hill,R1_P10,Walk now often always,Allison Hill; Matthew Cunningham; Dean Santiago; Derek Anderson,3,58,2023,Synergistic disintermediate initiative Journal
1,Allison Hill,R1_P11,Upon very act perform none beyond,Allison Hill; Katie Anderson; Benjamin Sanchez; Jeffrey Daniels; William Roman,4,54,1982,Stand-alone exuding knowledgebase Journal
1,Allison Hill,R1_P12,Federal professional voice care break blood network,Allison Hill; Larry Robbins; Mark Baker; Taylor Mathis Jr.,3,484,1986,Progressive 24/7 secured line Journal
1,Allison Hill,R1_P13,Four capital woman,Allison Hill; Jeremy Thornton; Ashley Landry; Brittany Johnson; Juan Jordan; Jacob Fitzpatrick; Amanda Howard; Mary Gomez; Shelly Dickson; Tammy Young,9,20,2018,Optimized even-keeled analyzer Journal
1,Allison Hill,R1_P14,Conference under site,Allison Hill; Michael Moss; Christopher Haynes; Andrew Ruiz; Thomas Bailey,4,273,2004,Diverse context-sensitive installation Journal
1,Allison Hill,R1_P15,Huge everything attorney significant go,Allison Hill; Meghan Anthony; Alexander Wiley,2,315,1988,Focused directional algorithm Journal
1,Allison Hill,R1_P16,Although others generation skill job,Allison Hill; Mrs. Stephanie Lee; Jeffrey Meyer; Melissa Bentley; Christina Reynolds; Tammie Hanson,5,345,1981,Fundamental context-sensitive paradigm Journal
1,Allison Hill,R1_P17,Medical project for recent never,Allison Hill; Maurice Gray; Carrie Carroll; Roy Torres; Richard Lawson; Jeremy Lowe; Rebecca Moyer; Mary Campbell,7,339,2023,Switchable bottom-line success Journal
1,Allison Hill,R1_P18,Behavior weight dog financial southern challenge,Allison Hill; William Carr; Joy Mercado; Michelle Cruz,3,263,1993,Switchable scalable process improvement Journal
1,Allison Hill,R1_P19,Throughout team those,Allison Hill; Colleen Brock; Julie Grant; Barbara Anderson; Joseph Hansen,4,80,2019,Open-architected dynamic circuit Journal
1,Allison Hill,R1_P20,Spring throughout interview trade knowledge city technology late,Allison Hill; Sara Ramirez; Kari Allen,2,387,1985,Intuitive web-enabled intranet Journal
1,Allison Hill,R1_P21,Doctor from throw ball character,Allison Hill; Christian Lewis; Gary Owens; Ross Price; Theresa Smith,4,53,2008,Organic asynchronous structure Journal
1,Allison Hill,R1_P22,Accept goal send table well industry section,Allison Hill; Lindsey Walker; Jeffrey Johnson,2,190,2005,Virtual object-oriented implementation Journal
1,Allison Hill,R1_P23,Right subject try wonder move trade,Allison Hill; Mary Miller; Sean White,2,43,1989,Mandatory static service-desk Journal
1,Allison Hill,R1_P24,Lawyer front they everything week,Allison Hill; Ruben Ruiz; Amy Crane; Barry Bernard; Andre Wright,4,445,1993,Fundamental homogeneous Graphic Interface Journal
1,Allison Hill,R1_P25,Call prove nor design record,Allison Hill; Carol Lawson; Ashley Weiss; Ashley Johnson; Michael Rubio; Miguel Jones; Lori Garcia; Sarah Burke; William Patton,8,350,1993,Ameliorated regional collaboration Journal
1,Allison Hill,R1_P26,Attention positive actually information majority item,Allison Hill; Steven Stevens; Christopher Boyd; Lisa Gillespie; Julie Petersen; Erica Sanchez; Diana Hayes; Laura Barnett; Johnny Nguyen; Mr. David Ramirez,9,214,2019,Monitored national interface Journal
1,Allison Hill,R1_P27,Act way beat result major serve real,Allison Hill; Katherine Mcguire; Daniel Holt,2,212,2003,Right-sized tangible focus group Journal
1,Allison Hill,R1_P28,List most international second former reflect,Allison Hill; David Martinez; Bryan Herrera; Cathy Robinson; Dr. William Warren; Brian Lee; Christopher Smith; Denise Mccann; Melissa Martinez; Katherine Salas,9,409,2020,Integrated stable paradigm Journal
1,Allison Hill,R1_P29,Key continue anything wait local state husband,Allison Hill; Mark Brown,1,156,2004,Re-engineered executive leverage Journal
1,Allison Hill,R1_P30,Yes budget share paper,Allison Hill; Courtney Mills; Jeremy Dalton; Elizabeth Oliver DDS; Theresa Clark; Matthew Moore; Benjamin Smith; Kirk Carter; Michael Warner; Michael Bradshaw,9,326,2003,Distributed non-volatile framework Journal
